userId,rating,handle,email,comment,image_url
A39HTATAQ9V7YF,5.0,blackwood-farm-the-vampire-chronicles,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A3JM6GV9MNOF9X,3.0,the-hobbit-leatherette-collector-s-edition,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A1Z513UWSAAO0F,5.0,the-hobbit-leatherette-collector-s-edition,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A1WMRR494NWEWV,4.0,the-book-of-shadows-a-novel,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A3IAAVS479H7M7,1.0,cerulean-sins-an-anita-blake-vampire-hunter-novel,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
AKJHHD5VEH7VG,5.0,sofies-welt,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
6833599480026,5.0,never-act-your-age-play-the-happy-childlike-role-well-at-every-age,namvip0105@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A22VW0P4VZHDE3,5.0,climbing-mt-shasta-route-1-avalanche-gulch,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A3V3RE4132GKRO,5.0,forever-peace-remembering-tomorrow,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A327B0I7CYTEJC,4.0,20-000-leagues-under-the-sea-wordsworth-collection,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
6833599480026,5.0,20-000-leagues-under-the-sea-wordsworth-collection,namvip0105@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
AIFAAVTUYHEHB,4.0,20-000-leagues-under-the-sea-wordsworth-collection,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
AVOGV98AYOFG2,5.0,south-seas-myths-and-legends-myths-and-legends-series,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A22VW0P4VZHDE3,5.0,shes-leaving-home,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
AVOGV98AYOFG2,5.0,kidnapped-and-catriona-world-classics,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A6R426V4J7AOM,5.0,kidnapped-and-catriona-world-classics,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A22VW0P4VZHDE3,5.0,rain-uk,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
AKGB62WGF35J8,5.0,rain-uk,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A22VW0P4VZHDE3,5.0,rabbit-proof-fence-the-true-story-of-one-of-the-greatest-escapes-of-all-time,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
6833599480026,5.0,rabbit-proof-fence-the-true-story-of-one-of-the-greatest-escapes-of-all-time,namvip0105@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
6833599480026,5.0,self-analysis-a-simple-self-help-volume-of-tests-and-techniques-based-on-the-discoveries-contained-in-dianetics,namvip0105@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A22VW0P4VZHDE3,5.0,maiden-of-the-mist-a-legend-of-niagara-falls,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A22VW0P4VZHDE3,5.0,the-book-of-illusions-thorndike-americana,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
A3A4C2K3TWDAO5,1.0,the-book-of-bebb,example@gmail.com,"Lorem ipsum dolor sit amet consectetur adipisicing elit. Eos dolorum doloribus neque corporis pariatur, quos, debitis distinctio ab quo perspiciatis adipisci ullam aut qui quibusdam rerum est eveniet ipsum nihil.",https://res.cloudinary.com/djb5huphd/image/upload/v1699499884/Reviews/zoqkehdepkhnl5bkwp3m.jpg
